from,to,value,id
CA,Design,99,1000256760-0
Design,20-30 days,99,1000256760-1
20-30 days,canceled,99,1000256760-2
canceled,< 10%,99,1000256760-3
US,Technology,1279,1000260691-0
Technology,20-30 days,1279,1000260691-1
20-30 days,canceled,1279,1000260691-2
canceled,< 10%,1279,1000260691-3
US,Technology,6192,1000261018-0
Technology,20-30 days,6192,1000261018-1
20-30 days,failed,6192,1000261018-2
failed,< 10%,6192,1000261018-3
US,Games,194,1000278154-0
Games,30-50 days,194,1000278154-1
30-50 days,canceled,194,1000278154-2
canceled,10% - 25%,194,1000278154-3
US,Food,162,1000282287-0
Food,30-50 days,162,1000282287-1
30-50 days,canceled,162,1000282287-2
canceled,< 10%,162,1000282287-3
GB,Design,13,1000291122-0
Design,40-50 days,13,1000291122-1
40-50 days,failed,13,1000291122-2
failed,25% - 50%,13,1000291122-3
US,Fashion,4737,1000291263-0
Fashion,20-30 days,4737,1000291263-1
20-30 days,failed,4737,1000291263-2
failed,< 10%,4737,1000291263-3
US,Theater,1890,1000294559-0
Theater,20-30 days,1890,1000294559-1
20-30 days,successful,1890,1000294559-2
successful,100% - 120%,1890,1000294559-3
US,Film & Video,1185,1000320473-0
Film & Video,20-30 days,1185,1000320473-1
20-30 days,failed,1185,1000320473-2
failed,25% - 50%,1185,1000320473-3
US,Games,995,1000328150-0
Games,> 50 days,995,1000328150-1
> 50 days,failed,995,1000328150-2
failed,< 10%,995,1000328150-3
GB,Fashion,96,1000328328-0
Fashion,> 50 days,96,1000328328-1
> 50 days,failed,96,1000328328-2
failed,< 10%,96,1000328328-3
US,Games,1061,1000331311-0
Games,20-30 days,1061,1000331311-1
20-30 days,failed,1061,1000331311-2
failed,10% - 25%,1061,1000331311-3
US,Film & Video,2614,1000332383-0
Film & Video,30-50 days,2614,1000332383-1
30-50 days,successful,2614,1000332383-2
successful,100% - 120%,2614,1000332383-3
US,Fashion,98,1000334074-0
Fashion,10-20 days,98,1000334074-1
10-20 days,successful,98,1000334074-2
successful,120% - 200%,98,1000334074-3
CA,Comics,56,1000335422-0
Comics,20-30 days,56,1000335422-1
20-30 days,successful,56,1000335422-2
successful,120% - 200%,56,1000335422-3
DE,Publishing,25,1000338818-0
Publishing,> 50 days,25,1000338818-1
> 50 days,failed,25,1000338818-2
