from,to,value,id
< 10 days,successful,2,1493809839-2
successful,120% - 200%,2,1493809839-3
DK,Art,1,1493873826-0
Art,> 50 days,1,1493873826-1
> 50 days,live,1,1493873826-2
live,10% - 25%,1,1493873826-3
GB,Art,6,1493880953-0
Art,40-50 days,6,1493880953-1
40-50 days,failed,6,1493880953-2
failed,50% - 100%,6,1493880953-3
CA,Publishing,2,1494069490-0
Publishing,30-50 days,2,1494069490-1
30-50 days,canceled,2,1494069490-2
canceled,25% - 50%,2,1494069490-3
US,Journalism,3,1494279841-0
Journalism,> 50 days,3,1494279841-1
> 50 days,live,3,1494279841-2
live,< 10%,3,1494279841-3
HK,Crafts,3,1494319220-0
Crafts,20-30 days,3,1494319220-1
20-30 days,failed,3,1494319220-2
failed,< 10%,3,1494319220-3
SE,Music,1,1494383728-0
Music,40-50 days,1,1494383728-1
40-50 days,successful,1,1494383728-2
successful,120% - 200%,1,1494383728-3
US,Publishing,1,1494596458-0
Publishing,30-50 days,1,1494596458-1
30-50 days,suspended,1,1494596458-2
suspended,10% - 25%,1,1494596458-3
CH,Technology,4,149487035-0
Technology,30-50 days,4,149487035-1
30-50 days,successful,4,149487035-2
successful,100% - 120%,4,149487035-3
AU,Photography,9,1495010763-0
Photography,20-30 days,9,1495010763-1
20-30 days,successful,9,1495010763-2
successful,> 200%,9,1495010763-3
GB,Games,1,1495047365-0
Games,40-50 days,1,1495047365-1
40-50 days,live,1,1495047365-2
live,120% - 200%,1,1495047365-3
SE,Publishing,2,1495414200-0
Publishing,30-50 days,2,1495414200-1
30-50 days,canceled,2,1495414200-2
canceled,< 10%,2,1495414200-3
AU,Photography,1,1495614180-0
Photography,> 50 days,1,1495614180-1
> 50 days,suspended,1,1495614180-2
suspended,< 10%,1,1495614180-3
FR,Journalism,1,1495618339-0
Journalism,< 10 days,1,1495618339-1
< 10 days,successful,1,1495618339-2
successful,100% - 120%,1,1495618339-3
AU,Design,1,1495732651-0
Design,20-30 days,1,1495732651-1
20-30 days,live,1,1495732651-2
live,120% - 200%,1,1495732651-3
IT,Film & Video,2,1495750107-0
Film & Video,30-50 days,2,1495750107-1
30-50 days,canceled,2,1495750107-2
canceled,< 10%,2,1495750107-3
DE,Film & Video,2,1495756107-0
Film & Video,20-30 days,2,1495756107-1
20-30 days,failed,2,1495756107-2
failed,50% - 100%,2,1495756107-3
GB,Art,5,149621150-0
Art,< 10 days,5,149621150-1
< 10 days,failed,5,149621150-2
failed,10% - 25%,5,149621150-3
MX,Food,6,1496339555-0
Food,20-30 days,6,1496339555-1
20-30 days,successful,6,1496339555-2
successful,100% - 120%,6,1496339555-3
GB,Art,6,1497166488-0
Art,< 10 days,6,1497166488-1
< 10 days,canceled,6,1497166488-2
canceled,< 10%,6,1497166488-3
MX,Comics,1,1497202211-0
Comics,40-50 days,1,1497202211-1
40-50 days,successful,1,1497202211-2
successful,100% - 120%,1,1497202211-3
CH,Design,2,149734840-0
Design,30-50 days,2,149734840-1
30-50 days,successful,2,149734840-2
successful,100% - 120%,2,149734840-3
AU,Music,5,1497491077-0
Music,30-50 days,5,1497491077-1
30-50 days,failed,5,1497491077-2
failed,25% - 50%,5,1497491077-3
NL,Art,1,1497498226-0
Art,40-50 days,1,1497498226-1
40-50 days,successful,1,1497498226-2
successful,120% - 200%,1,1497498226-3
GB,Comics,5,1497797050-0
Comics,30-50 days,5,1497797050-1
30-50 days,failed,5,1497797050-2
failed,50% - 100%,5,1497797050-3
FR,Fashion,9,1497831283-0
Fashion,40-50 days,9,1497831283-1
40-50 days,canceled,9,1497831283-2
canceled,< 10%,9,1497831283-3
US,Journalism,1,1498078060-0
Journalism,40-50 days,1,1498078060-1
40-50 days,live,1,1498078060-2
live,100% - 120%,1,1498078060-3
IT,Film & Video,1,1498292373-0
Film & Video,> 50 days,1,1498292373-1
> 50 days,successful,1,1498292373-2
successful,120% - 200%,1,1498292373-3
ES,Technology,1,1498675403-0
Technology,30-50 days,1,1498675403-1
30-50 days,canceled,1,1498675403-2
canceled,50% - 100%,1,1498675403-3
DK,Theater,1,149877802-0
Theater,30-50 days,1,149877802-1
30-50 days,live,1,149877802-2
live,10% - 25%,1,149877802-3
IT,Photography,5,1498800765-0
Photography,20-30 days,5,1498800765-1
20-30 days,successful,5,1498800765-2
successful,100% - 120%,5,1498800765-3
AU,Games,1,1498828456-0
Games,< 10 days,1,1498828456-1
< 10 days,suspended,1,1498828456-2
suspended,> 200%,1,1498828456-3
FR,Film & Video,3,1498859799-0
Film & Video,30-50 days,3,1498859799-1
30-50 days,successful,3,1498859799-2
successful,> 200%,3,1498859799-3
US,Theater,1,1498885434-0
Theater,20-30 days,1,1498885434-1
20-30 days,canceled,1,1498885434-2
canceled,100% - 120%,1,1498885434-3
ES,Music,4,1499124424-0
Music,20-30 days,4,1499124424-1
20-30 days,canceled,4,1499124424-2
canceled,< 10%,4,1499124424-3
DE,Film & Video,2,1499150473-0
Film & Video,40-50 days,2,1499150473-1
40-50 days,failed,2,1499150473-2
failed,10% - 25%,2,1499150473-3
GB,Music,3,1499804733-0
Music,< 10 days,3,1499804733-1
< 10 days,failed,3,1499804733-2
failed,10% - 25%,3,1499804733-3
LU,Design,1,1499964213-0
Design,40-50 days,1,1499964213-1
40-50 days,successful,1,1499964213-2
successful,100% - 120%,1,1499964213-3
AU,Games,2,1500471872-0
Games,> 50 days,2,1500471872-1
> 50 days,canceled,2,1500471872-2
canceled,10% - 25%,2,1500471872-3
US,Publishing,8,1500843636-0
Publishing,20-30 days,8,1500843636-1
20-30 days,live,8,1500843636-2
live,10% - 25%,8,1500843636-3
NO,Games,1,1501014152-0
Games,20-30 days,1,1501014152-1
20-30 days,canceled,1,1501014152-2
canceled,25% - 50%,1,1501014152-3
US,Food,3,1501543307-0
Food,40-50 days,3,1501543307-1
40-50 days,live,3,1501543307-2
live,50% - 100%,3,1501543307-3
DK,Film & Video,1,150155558-0
Film & Video,40-50 days,1,150155558-1
40-50 days,failed,1,150155558-2
failed,< 10%,1,150155558-3
BE,Art,3,1501946000-0
Art,20-30 days,3,1501946000-1
20-30 days,failed,3,1501946000-2
failed,25% - 50%,3,1501946000-3
ES,Film & Video,2,1501957505-0
Film & Video,40-50 days,2,1501957505-1
40-50 days,successful,2,1501957505-2
successful,100% - 120%,2,1501957505-3
SE,Photography,3,150221280-0
Photography,20-30 days,3,150221280-1
20-30 days,successful,3,150221280-2
successful,120% - 200%,3,150221280-3
DK,Fashion,1,1502368994-0
Fashion,30-50 days,1,1502368994-1
30-50 days,failed,1,1502368994-2
failed,50% - 100%,1,1502368994-3
CA,Games,1,1502705403-0
Games,20-30 days,1,1502705403-1
20-30 days,suspended,1,1502705403-2
suspended,50% - 100%,1,1502705403-3
HK,Technology,1,1502955588-0
Technology,40-50 days,1,1502955588-1
40-50 days,failed,1,1502955588-2
failed,25% - 50%,1,1502955588-3
HK,Art,2,150334223-0
Art,20-30 days,2,150334223-1
20-30 days,failed,2,150334223-2
failed,25% - 50%,2,150334223-3
CA,Fashion,1,1503439833-0
Fashion,> 50 days,1,1503439833-1
> 50 days,live,1,1503439833-2
live,< 10%,1,1503439833-3
IE,Fashion,1,1503471093-0
Fashion,30-50 days,1,1503471093-1
30-50 days,failed,1,1503471093-2
failed,25% - 50%,1,1503471093-3
FR,Crafts,2,1503479914-0
Crafts,20-30 days,2,1503479914-1
20-30 days,successful,2,1503479914-2
successful,> 200%,2,1503479914-3
IE,Fashion,1,1503555774-0
Fashion,20-30 days,1,1503555774-1
20-30 days,canceled,1,1503555774-2
canceled,50% - 100%,1,1503555774-3
MX,Games,4,1503876316-0
Games,30-50 days,4,1503876316-1
30-50 days,successful,4,1503876316-2
successful,> 200%,4,1503876316-3
HK,Games,1,1504160965-0
Games,30-50 days,1,1504160965-1
30-50 days,canceled,1,1504160965-2
canceled,< 10%,1,1504160965-3
HK,Design,2,1504173572-0
Design,10-20 days,2,1504173572-1
10-20 days,successful,2,1504173572-2
successful,120% - 200%,2,1504173572-3
NZ,Music,5,1504186934-0
Music,20-30 days,5,1504186934-1
20-30 days,successful,5,1504186934-2
successful,120% - 200%,5,1504186934-3
GB,Games,2,1504711714-0
Games,20-30 days,2,1504711714-1
20-30 days,canceled,2,1504711714-2
canceled,> 200%,2,1504711714-3
IE,Publishing,3,1504772297-0
Publishing,20-30 days,3,1504772297-1
20-30 days,failed,3,1504772297-2
failed,25% - 50%,3,1504772297-3
DE,Music,5,1505677741-0
Music,30-50 days,5,1505677741-1
30-50 days,failed,5,1505677741-2
failed,10% - 25%,5,1505677741-3
MX,Fashion,4,150567984-0
Fashion,> 50 days,4,150567984-1
> 50 days,failed,4,150567984-2
failed,< 10%,4,150567984-3
N,0",Film & Video,1,1505769879-0
Film & Video,10-20 days,1,1505769879-1
10-20 days,undefined,1,1505769879-2
undefined,50% - 100%,1,1505769879-3
DE,Journalism,1,1505885588-0
Journalism,20-30 days,1,1505885588-1
20-30 days,canceled,1,1505885588-2
canceled,< 10%,1,1505885588-3
BE,Fashion,1,1505961181-0
Fashion,40-50 days,1,1505961181-1
40-50 days,failed,1,1505961181-2
failed,< 10%,1,1505961181-3
NZ,Journalism,1,1506014338-0
Journalism,10-20 days,1,1506014338-1
10-20 days,failed,1,1506014338-2
failed,< 10%,1,1506014338-3
AU,Publishing,5,1506018142-0
Publishing,40-50 days,5,1506018142-1
40-50 days,failed,5,1506018142-2
failed,25% - 50%,5,1506018142-3
ES,Design,2,1506081671-0
Design,40-50 days,2,1506081671-1
40-50 days,successful,2,1506081671-2
successful,100% - 120%,2,1506081671-3
IE,Fashion,3,1506522969-0
Fashion,> 50 days,3,1506522969-1
> 50 days,failed,3,1506522969-2
failed,< 10%,3,1506522969-3
US,Film & Video,2,1506868867-0
Film & Video,30-50 days,2,1506868867-1
30-50 days,live,2,1506868867-2
live,10% - 25%,2,1506868867-3
ES,Design,2,1507433917-0
Design,> 50 days,2,1507433917-1
> 50 days,failed,2,1507433917-2
failed,10% - 25%,2,1507433917-3
AU,Art,2,1507479900-0
Art,40-50 days,2,1507479900-1
40-50 days,successful,2,1507479900-2
successful,120% - 200%,2,1507479900-3
US,Fashion,1,1507616229-0
Fashion,40-50 days,1,1507616229-1
40-50 days,live,1,1507616229-2
live,120% - 200%,1,1507616229-3
HK,Film & Video,1,1507974224-0
Film & Video,> 50 days,1,1507974224-1
> 50 days,failed,1,1507974224-2
failed,< 10%,1,1507974224-3
AT,Dance,1,150799549-0
Dance,20-30 days,1,150799549-1
20-30 days,failed,1,150799549-2
failed,< 10%,1,150799549-3
SE,Art,1,1508025510-0
Art,10-20 days,1,1508025510-1
10-20 days,failed,1,1508025510-2
failed,25% - 50%,1,1508025510-3
GB,Design,1,150815475-0
Design,20-30 days,1,150815475-1
20-30 days,live,1,150815475-2
live,10% - 25%,1,150815475-3
CA,Film & Video,1,1508211794-0
Film & Video,< 10 days,1,1508211794-1
< 10 days,failed,1,1508211794-2
failed,25% - 50%,1,1508211794-3
US,Comics,2,1508225352-0
Comics,20-30 days,2,1508225352-1
20-30 days,suspended,2,1508225352-2
suspended,10% - 25%,2,1508225352-3
NL,Music,3,1508227378-0
Music,30-50 days,3,1508227378-1
30-50 days,canceled,3,1508227378-2
canceled,< 10%,3,1508227378-3
GB,Film & Video,2,1508536407-0
Film & Video,30-50 days,2,1508536407-1
30-50 days,canceled,2,1508536407-2
canceled,50% - 100%,2,1508536407-3
SG,Art,3,1508545245-0
Art,20-30 days,3,1508545245-1
20-30 days,failed,3,1508545245-2
failed,10% - 25%,3,1508545245-3
LU,Photography,1,1508619641-0
Photography,20-30 days,1,1508619641-1
20-30 days,failed,1,1508619641-2
failed,10% - 25%,1,1508619641-3
AT,Publishing,3,1509067071-0
Publishing,20-30 days,3,1509067071-1
20-30 days,canceled,3,1509067071-2
canceled,< 10%,3,1509067071-3
US,Design,4,1509175848-0
Design,30-50 days,4,1509175848-1
30-50 days,suspended,4,1509175848-2
suspended,10% - 25%,4,1509175848-3
US,Crafts,8,1509227230-0
Crafts,< 10 days,8,1509227230-1
< 10 days,failed,8,1509227230-2
failed,50% - 100%,8,1509227230-3
HK,Games,4,1509256959-0
Games,10-20 days,4,1509256959-1
10-20 days,successful,4,1509256959-2
successful,120% - 200%,4,1509256959-3
DE,Photography,3,1509362896-0
Photography,30-50 days,3,1509362896-1
30-50 days,successful,3,1509362896-2
successful,120% - 200%,3,1509362896-3
FR,Games,1,1509425276-0
Games,10-20 days,1,1509425276-1
10-20 days,successful,1,1509425276-2
successful,100% - 120%,1,1509425276-3
IT,Design,2,1509540558-0
Design,40-50 days,2,1509540558-1
40-50 days,live,2,1509540558-2
live,10% - 25%,2,1509540558-3
GB,Photography,1,1509809066-0
Photography,> 50 days,1,1509809066-1
> 50 days,live,1,1509809066-2
live,< 10%,1,1509809066-3
DK,Food,6,1510104137-0
Food,> 50 days,6,1510104137-1
> 50 days,failed,6,1510104137-2
failed,< 10%,6,1510104137-3
BE,Technology,1,1510464492-0
Technology,30-50 days,1,1510464492-1
30-50 days,successful,1,1510464492-2
successful,100% - 120%,1,1510464492-3
SG,Technology,5,1510830624-0
Technology,20-30 days,5,1510830624-1
20-30 days,canceled,5,1510830624-2
canceled,< 10%,5,1510830624-3
MX,Theater,1,1510845255-0
Theater,> 50 days,1,1510845255-1
> 50 days,live,1,1510845255-2
live,25% - 50%,1,1510845255-3
DE,Theater,1,1510921674-0
Theater,> 50 days,1,1510921674-1
> 50 days,canceled,1,1510921674-2
canceled,< 10%,1,1510921674-3
CA,Film & Video,9,1511886599-0
Film & Video,40-50 days,9,1511886599-1
40-50 days,successful,9,1511886599-2
successful,120% - 200%,9,1511886599-3
FR,Photography,1,1511994866-0
Photography,30-50 days,1,1511994866-1
30-50 days,successful,1,1511994866-2
successful,> 200%,1,1511994866-3
ES,Music,2,1512022027-0
Music,30-50 days,2,1512022027-1
30-50 days,failed,2,1512022027-2
failed,10% - 25%,2,1512022027-3
CH,Fashion,2,1512079669-0
Fashion,40-50 days,2,1512079669-1
40-50 days,failed,2,1512079669-2
failed,< 10%,2,1512079669-3
NL,Games,5,151208889-0
Games,10-20 days,5,151208889-1
10-20 days,successful,5,151208889-2
successful,> 200%,5,151208889-3
FR,Journalism,3,1512723549-0
Journalism,20-30 days,3,1512723549-1
20-30 days,successful,3,1512723549-2
successful,100% - 120%,3,1512723549-3
MX,Design,2,1512741879-0
Design,10-20 days,2,1512741879-1
10-20 days,failed,2,1512741879-2
failed,< 10%,2,1512741879-3
CH,Theater,1,1512752255-0
Theater,20-30 days,1,1512752255-1
20-30 days,failed,1,1512752255-2
failed,< 10%,1,1512752255-3
NL,Journalism,1,1512777983-0
Journalism,> 50 days,1,1512777983-1
> 50 days,suspended,1,1512777983-2
suspended,< 10%,1,1512777983-3
CH,Film & Video,1,1512845196-0
Film & Video,20-30 days,1,1512845196-1
20-30 days,suspended,1,1512845196-2
suspended,25% - 50%,1,1512845196-3
AU,Journalism,3,151293426-0
Journalism,20-30 days,3,151293426-1
20-30 days,failed,3,151293426-2
failed,10% - 25%,3,151293426-3
NZ,Crafts,1,1513861007-0
Crafts,20-30 days,1,1513861007-1
20-30 days,suspended,1,1513861007-2
suspended,< 10%,1,1513861007-3
GB,Publishing,1,151427682-0
Publishing,20-30 days,1,151427682-1
20-30 days,canceled,1,151427682-2
canceled,> 200%,1,151427682-3
LU,Food,1,1514478976-0
Food,10-20 days,1,1514478976-1
10-20 days,failed,1,1514478976-2
failed,< 10%,1,1514478976-3
AU,Journalism,1,1514573630-0
Journalism,40-50 days,1,1514573630-1
40-50 days,successful,1,1514573630-2
successful,100% - 120%,1,1514573630-3
CA,Music,4,1514665998-0
Music,20-30 days,4,1514665998-1
20-30 days,failed,4,1514665998-2
failed,50% - 100%,4,1514665998-3
US,Dance,1,15146960-0
Dance,> 50 days,1,15146960-1
> 50 days,canceled,1,15146960-2
canceled,25% - 50%,1,15146960-3
ES,Food,1,1514835081-0
Food,30-50 days,1,1514835081-1
30-50 days,canceled,1,1514835081-2
canceled,50% - 100%,1,1514835081-3
FR,Music,3,1514912516-0
Music,20-30 days,3,1514912516-1
20-30 days,successful,3,1514912516-2
successful,> 200%,3,1514912516-3
HK,Design,2,151509737-0
Design,10-20 days,2,151509737-1
10-20 days,failed,2,151509737-2
failed,10% - 25%,2,151509737-3
BE,Art,2,1515131004-0
Art,> 50 days,2,1515131004-1
> 50 days,canceled,2,1515131004-2
canceled,< 10%,2,1515131004-3
SE,Games,5,1515282161-0
Games,10-20 days,5,1515282161-1
10-20 days,failed,5,1515282161-2
failed,< 10%,5,1515282161-3
NL,Art,2,151531366-0
Art,20-30 days,2,151531366-1
20-30 days,canceled,2,151531366-2
canceled,25% - 50%,2,151531366-3
DE,Food,2,1515358786-0
Food,40-50 days,2,1515358786-1
40-50 days,canceled,2,1515358786-2
canceled,< 10%,2,1515358786-3
IT,Food,5,1515565763-0
Food,> 50 days,5,1515565763-1
> 50 days,canceled,5,1515565763-2
canceled,< 10%,5,1515565763-3
AU,Music,2,1515617886-0
Music,> 50 days,2,1515617886-1
> 50 days,failed,2,1515617886-2
failed,25% - 50%,2,1515617886-3
SE,Design,3,1516064581-0
Design,40-50 days,3,1516064581-1
40-50 days,failed,3,1516064581-2
failed,< 10%,3,1516064581-3
US,Publishing,2,1516076065-0
Publishing,40-50 days,2,1516076065-1
40-50 days,live,2,1516076065-2
live,10% - 25%,2,1516076065-3
MX,Comics,1,1516627558-0
Comics,20-30 days,1,1516627558-1
20-30 days,successful,1,1516627558-2
successful,> 200%,1,1516627558-3
MX,Design,1,1516850955-0
Design,10-20 days,1,1516850955-1
10-20 days,live,1,1516850955-2
live,> 200%,1,1516850955-3
LU,Food,1,1516878556-0
Food,20-30 days,1,1516878556-1
20-30 days,failed,1,1516878556-2
failed,25% - 50%,1,1516878556-3
AU,Film & Video,2,1517415215-0
Film & Video,10-20 days,2,1517415215-1
10-20 days,successful,2,1517415215-2
successful,> 200%,2,1517415215-3
IT,Music,4,1517416766-0
Music,10-20 days,4,1517416766-1
10-20 days,failed,4,1517416766-2
failed,< 10%,4,1517416766-3
SE,Food,2,1517631645-0
Food,> 50 days,2,1517631645-1
> 50 days,canceled,2,1517631645-2
canceled,< 10%,2,1517631645-3
SE,Games,2,1517733387-0
Games,30-50 days,2,1517733387-1
30-50 days,failed,2,1517733387-2
failed,10% - 25%,2,1517733387-3
NL,Music,4,1517737747-0
Music,20-30 days,4,1517737747-1
20-30 days,failed,4,1517737747-2
failed,10% - 25%,4,1517737747-3
US,Photography,4,1517870854-0
Photography,< 10 days,4,1517870854-1
< 10 days,failed,4,1517870854-2
failed,50% - 100%,4,1517870854-3
AU,Games,1,1518004260-0
Games,< 10 days,1,1518004260-1
< 10 days,canceled,1,1518004260-2
canceled,< 10%,1,1518004260-3
IE,Film & Video,1,1518076854-0
Film & Video,30-50 days,1,1518076854-1
30-50 days,successful,1,1518076854-2
successful,> 200%,1,1518076854-3
DE,Technology,1,1518318717-0
Technology,> 50 days,1,1518318717-1
> 50 days,suspended,1,1518318717-2
suspended,< 10%,1,1518318717-3
NL,Design,7,1518356372-0
Design,10-20 days,7,1518356372-1
10-20 days,failed,7,1518356372-2
failed,< 10%,7,1518356372-3
NL,Technology,1,151841930-0
Technology,10-20 days,1,151841930-1
10-20 days,canceled,1,151841930-2
canceled,10% - 25%,1,151841930-3
NO,Food,3,1518551835-0
Food,30-50 days,3,1518551835-1
30-50 days,failed,3,1518551835-2
failed,< 10%,3,1518551835-3
AU,Film & Video,7,1518806800-0
Film & Video,> 50 days,7,1518806800-1
> 50 days,successful,7,1518806800-2
successful,100% - 120%,7,1518806800-3
DK,Photography,1,1518897651-0
Photography,< 10 days,1,1518897651-1
< 10 days,successful,1,1518897651-2
successful,120% - 200%,1,1518897651-3
SE,Food,2,1519070586-0
Food,> 50 days,2,1519070586-1
> 50 days,suspended,2,1519070586-2
suspended,< 10%,2,1519070586-3
FR,Fashion,1,1519255874-0
Fashion,30-50 days,1,1519255874-1
30-50 days,canceled,1,1519255874-2
canceled,10% - 25%,1,1519255874-3
AU,Comics,1,1519446917-0
Comics,40-50 days,1,1519446917-1
40-50 days,live,1,1519446917-2
live,50% - 100%,1,1519446917-3
CA,Photography,2,1520057617-0
Photography,< 10 days,2,1520057617-1
< 10 days,successful,2,1520057617-2
successful,100% - 120%,2,1520057617-3
SG,Design,2,1520066267-0
Design,30-50 days,2,1520066267-1
30-50 days,canceled,2,1520066267-2
canceled,10% - 25%,2,1520066267-3
NO,Film & Video,1,1520116979-0
Film & Video,20-30 days,1,1520116979-1
20-30 days,failed,1,1520116979-2
failed,25% - 50%,1,1520116979-3
AU,Theater,3,1520117467-0
Theater,> 50 days,3,1520117467-1
> 50 days,canceled,3,1520117467-2
canceled,< 10%,3,1520117467-3
NO,Music,6,1520156623-0
Music,20-30 days,6,1520156623-1
20-30 days,canceled,6,1520156623-2
canceled,< 10%,6,1520156623-3
US,Dance,1,1520416696-0
Dance,30-50 days,1,1520416696-1
30-50 days,canceled,1,1520416696-2
canceled,25% - 50%,1,1520416696-3
SE,Games,7,1520616480-0
Games,30-50 days,7,1520616480-1
30-50 days,canceled,7,1520616480-2
canceled,< 10%,7,1520616480-3
FR,Art,1,1521682826-0
Art,10-20 days,1,1521682826-1
10-20 days,failed,1,1521682826-2
failed,25% - 50%,1,1521682826-3
MX,Photography,3,1522572602-0
Photography,20-30 days,3,1522572602-1
20-30 days,canceled,3,1522572602-2
canceled,< 10%,3,1522572602-3
IE,Games,1,1522955059-0
Games,20-30 days,1,1522955059-1
20-30 days,failed,1,1522955059-2
failed,50% - 100%,1,1522955059-3
AU,Art,2,1523014737-0
Art,40-50 days,2,1523014737-1
40-50 days,failed,2,1523014737-2
failed,25% - 50%,2,1523014737-3
CH,Theater,1,1523322713-0
Theater,10-20 days,1,1523322713-1
10-20 days,successful,1,1523322713-2
successful,100% - 120%,1,1523322713-3
US,Comics,3,1523467274-0
Comics,10-20 days,3,1523467274-1
10-20 days,canceled,3,1523467274-2
canceled,25% - 50%,3,1523467274-3
GB,Technology,3,1523471200-0
Technology,< 10 days,3,1523471200-1
< 10 days,successful,3,1523471200-2
successful,100% - 120%,3,1523471200-3
BE,Food,16,1523589264-0
Food,20-30 days,16,1523589264-1
20-30 days,failed,16,1523589264-2
failed,< 10%,16,1523589264-3
FR,Comics,1,1523608703-0
Comics,30-50 days,1,1523608703-1
30-50 days,successful,1,1523608703-2
successful,120% - 200%,1,1523608703-3
CH,Design,1,1523707454-0
Design,40-50 days,1,1523707454-1
40-50 days,canceled,1,1523707454-2
canceled,25% - 50%,1,1523707454-3
GB,Comics,4,1523853798-0
Comics,< 10 days,4,1523853798-1
< 10 days,successful,4,1523853798-2
successful,> 200%,4,1523853798-3
SE,Music,1,152386505-0
Music,< 10 days,1,152386505-1
< 10 days,failed,1,152386505-2
failed,< 10%,1,152386505-3
ES,Comics,1,152407258-0
Comics,40-50 days,1,152407258-1
40-50 days,failed,1,152407258-2
failed,< 10%,1,152407258-3
CA,Film & Video,3,1524223174-0
Film & Video,20-30 days,3,1524223174-1
20-30 days,suspended,3,1524223174-2
suspended,< 10%,3,1524223174-3
NL,Games,1,152452996-0
Games,30-50 days,1,152452996-1
30-50 days,live,1,152452996-2
live,< 10%,1,152452996-3
IT,Publishing,2,152507862-0
Publishing,< 10 days,2,152507862-1
< 10 days,successful,2,152507862-2
successful,> 200%,2,152507862-3
GB,Dance,2,1525195888-0
Dance,> 50 days,2,1525195888-1
> 50 days,canceled,2,1525195888-2
canceled,< 10%,2,1525195888-3
IE,Food,1,1525487375-0
Food,20-30 days,1,1525487375-1
20-30 days,canceled,1,1525487375-2
canceled,< 10%,1,1525487375-3
NO,Film & Video,2,1525684986-0
Film & Video,10-20 days,2,1525684986-1
10-20 days,canceled,2,1525684986-2
canceled,< 10%,2,1525684986-3
ES,Publishing,3,1525706830-0
Publishing,30-50 days,3,1525706830-1
30-50 days,canceled,3,1525706830-2
canceled,< 10%,3,1525706830-3
IE,Fashion,1,1526566202-0
Fashion,40-50 days,1,1526566202-1
40-50 days,failed,1,1526566202-2
failed,25% - 50%,1,1526566202-3
US,Photography,2,1526635959-0
Photography,30-50 days,2,1526635959-1
30-50 days,canceled,2,1526635959-2
canceled,120% - 200%,2,1526635959-3
HK,Design,3,1526926972-0
Design,30-50 days,3,1526926972-1
30-50 days,canceled,3,1526926972-2
canceled,50% - 100%,3,1526926972-3
NO,Film & Video,1,1527122425-0
Film & Video,> 50 days,1,1527122425-1
> 50 days,canceled,1,1527122425-2
canceled,10% - 25%,1,1527122425-3
CA,Games,2,1527391253-0
Games,10-20 days,2,1527391253-1
10-20 days,failed,2,1527391253-2
failed,50% - 100%,2,1527391253-3
MX,Fashion,3,1527471138-0
Fashion,30-50 days,3,1527471138-1
30-50 days,canceled,3,1527471138-2
canceled,< 10%,3,1527471138-3
SE,Fashion,3,1527555911-0
Fashion,20-30 days,3,1527555911-1
20-30 days,failed,3,1527555911-2
failed,25% - 50%,3,1527555911-3
FR,Art,1,1527690812-0
Art,30-50 days,1,1527690812-1
30-50 days,live,1,1527690812-2
live,> 200%,1,1527690812-3
US,Publishing,7,1527931694-0
Publishing,10-20 days,7,1527931694-1
10-20 days,canceled,7,1527931694-2
canceled,25% - 50%,7,1527931694-3
AT,Design,1,1528338040-0
Design,20-30 days,1,1528338040-1
20-30 days,suspended,1,1528338040-2
suspended,< 10%,1,1528338040-3
AU,Fashion,4,1528807384-0
Fashion,40-50 days,4,1528807384-1
40-50 days,successful,4,1528807384-2
successful,> 200%,4,1528807384-3
AU,Technology,4,1528896488-0
Technology,20-30 days,4,1528896488-1
20-30 days,suspended,4,1528896488-2
suspended,< 10%,4,1528896488-3
CA,Fashion,4,1528936123-0
Fashion,40-50 days,4,1528936123-1
40-50 days,canceled,4,1528936123-2
canceled,10% - 25%,4,1528936123-3
SE,Design,2,1528946222-0
Design,10-20 days,2,1528946222-1
10-20 days,successful,2,1528946222-2
successful,120% - 200%,2,1528946222-3
US,Dance,2,1529412988-0
Dance,< 10 days,2,1529412988-1
< 10 days,successful,2,1529412988-2
successful,> 200%,2,1529412988-3
CA,Design,3,1529874276-0
Design,> 50 days,3,1529874276-1
> 50 days,live,3,1529874276-2
live,< 10%,3,1529874276-3
IT,Publishing,1,1530085005-0
Publishing,> 50 days,1,1530085005-1
> 50 days,failed,1,1530085005-2
failed,25% - 50%,1,1530085005-3
CA,Crafts,1,1530087899-0
Crafts,> 50 days,1,1530087899-1
> 50 days,successful,1,1530087899-2
successful,120% - 200%,1,1530087899-3
AU,Comics,5,1530629566-0
Comics,20-30 days,5,1530629566-1
20-30 days,failed,5,1530629566-2
failed,25% - 50%,5,1530629566-3
IT,Fashion,4,1530710409-0
Fashion,20-30 days,4,1530710409-1
20-30 days,canceled,4,1530710409-2
canceled,10% - 25%,4,1530710409-3
CH,Music,1,1530991835-0
Music,30-50 days,1,1530991835-1
30-50 days,live,1,1530991835-2
live,< 10%,1,1530991835-3
AT,Design,1,1531083547-0
Design,30-50 days,1,1531083547-1
30-50 days,canceled,1,1531083547-2
canceled,25% - 50%,1,1531083547-3
FR,Games,2,1531137241-0
Games,40-50 days,2,1531137241-1
40-50 days,failed,2,1531137241-2
failed,25% - 50%,2,1531137241-3
CA,Photography,2,153131086-0
Photography,30-50 days,2,153131086-1
30-50 days,canceled,2,153131086-2
canceled,< 10%,2,153131086-3
SE,Comics,4,1531378699-0
Comics,30-50 days,4,1531378699-1
30-50 days,successful,4,1531378699-2
successful,> 200%,4,1531378699-3
AU,Comics,8,1531456671-0
Comics,> 50 days,8,1531456671-1
> 50 days,failed,8,1531456671-2
failed,< 10%,8,1531456671-3
SE,Food,6,1531669591-0
